"Status","Name","DisplayName","CanPauseAndContinue","CanShutdown","CanStop","StartType","ServiceType","DependentServices"
"Stopped","AarSvc_47e64","Agent Activation Runtime_47e64","False","False","False","Manual","224",""
"Stopped","ALG","Application Layer Gateway Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","AppIDSvc","Application Identity","False","False","False","Manual","Win32ShareProcess","applockerfltr"
"Running","Appinfo","Application Information","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","AppReadiness","App Readiness","False","False","False","Manual","Win32ShareProcess",""
"Stopped","AppXSvc","AppX Deployment Service (AppXSVC)","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","ApxSvc","Windows Virtual Audio Device Proxy Service","False","False","False","Manual","Win32OwnProcess",""
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv"
"Running","Audiosrv","Windows Audio","False","False","True","Automatic","Win32OwnProcess","AarSvc_47e64;RtkAudioUniversalService;AarSvc"
"Stopped","autotimesvc","Cellular Time","False","False","False","Manual","Win32OwnProcess",""
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","False","False","False","Manual","Win32ShareProcess",""
"Stopped","BcastDVRUserService_47e64","GameDVR and Broadcast User Service_47e64","False","False","False","Manual","224",""
"Running","BDESVC","BitLocker Drive Encryption Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","BFE","Base Filtering Engine","False","False","True","Automatic","Win32ShareProcess","ZTDNS;XboxNetApiSvc;webthreatdefsvc;wtd;WdNisSvc;WdNisDrv;SharedAccess;RemoteAccess;PolicyAgent;NcaSvc;mpssvc;IKEEXT"
"Stopped","BITS","Background Intelligent Transfer Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","BluetoothUserService_47e64","Bluetooth User Support Service_47e64","False","False","False","Manual","224",""
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","False","False","False","Automatic","Win32ShareProcess","workfolderssvc;WSearch;WSAIFabricSvc;TokenBroker;CDPSvc;NcbService;embeddedmode"
"Stopped","BTAGService","Bluetooth Audio Gateway Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","BthAvctpSvc","AVCTP service","False","False","False","Manual","Win32ShareProcess",""
"Running","bthserv","Bluetooth Support Service","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess","BluetoothUserService_47e64;BluetoothUserService"
"Running","camsvc","Capability Access Manager Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","CaptureService_47e64","CaptureService_47e64","False","False","False","Manual","224",""
"Running","cbdhsvc_47e64","Clipboard User Service_47e64","False","False","True","Automatic","240",""
"Running","CDPSvc","Connected Devices Platform Service","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","CDPUserSvc_47e64","Connected Devices Platform User Service_47e64","False","False","True","Automatic","240",""
"Stopped","CertPropSvc","Certificate Propagation","False","False","False","Manual","Win32ShareProcess",""
"Stopped","ClipSVC","Client Licence Service (ClipSVC)","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","CloudBackupRestoreSvc_47e64","Cloud Backup and Restore Service_47e64","False","False","False","Manual","224",""
"Stopped","COMSysApp","COM+ System Application","False","False","False","Manual","Win32OwnProcess",""
"Stopped","ConsentUxUserSvc_47e64","ConsentUX User Service_47e64","False","False","False","Manual","224",""
"Running","CoreMessagingRegistrar","CoreMessaging","False","False","False","Automatic","Win32ShareProcess","camsvc"
"Running","cplspcon","Intel(R) Content Protection HDCP Service","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","CredentialEnrollmentManagerUserSvc_47e64","CredentialEnrollmentManagerUserSvc_47e64","False","False","False","Manual","208",""
"Running","CryptSvc","Cryptographic Services","False","True","True","Automatic","Win32OwnProcess","applockerfltr;AppIDSvc"
"Running","DcomLaunch","DCOM Server Process Launcher","False","False","False","Automatic","Win32ShareProcess","webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc;RpcSs"
"Stopped","dcsvc","Declared Configuration(DC) service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","defragsvc","Optimise drives","False","False","False","Manual","Win32OwnProcess",""
"Stopped","DeviceAssociationBrokerSvc_47e64","DeviceAssociationBroker_47e64","False","False","False","Manual","224",""
"Running","DeviceAssociationService","Device Association Service","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","DeviceInstall","Device Install Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","DevicePickerUserSvc_47e64","DevicePicker_47e64","False","False","False","Manual","224",""
"Running","DevicesFlowUserSvc_47e64","DevicesFlow_47e64","False","False","True","Manual","240",""
"Running","DevQueryBroker","DevQuery Background Discovery Broker","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","Dhcp","DHCP Client","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc;WinHttpAutoProxySvc"
"Stopped","diagsvc","Diagnostic Execution Service","False","False","False","Manual","Win32ShareProcess",""
"Running","DiagTrack","Connected User Experiences and Telemetry","False","True","True","Automatic","Win32OwnProcess",""
"Running","DispBrokerDesktopSvc","Display Policy Service","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","DisplayEnhancementService","Display Enhancement Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","False","False","False","Manual","Win32ShareProcess",""
"Running","Dnscache","DNS Client","False","False","False","Automatic","Win32OwnProcess","WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc;WinHttpAutoProxySvc"
"Running","DolbyDAXAPI","Dolby DAX API Service","False","True","True","Automatic","Win32OwnProcess",""
"Stopped","DoSvc","Delivery Optimization","False","False","False","Automatic","Win32OwnProcess",""
"Stopped","dot3svc","Wired AutoConfig","False","False","False","Manual","Win32ShareProcess",""
"Running","DPS","Diagnostic Policy Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","True","False","True","Automatic","Win32OwnProcess",""
"Stopped","DsmSvc","Device Setup Manager","False","False","False","Manual","Win32ShareProcess",""
"Stopped","DsSvc","Data Sharing Service","False","False","False","Manual","Win32ShareProcess",""
"Running","DusmSvc","Data Usage","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","EapHost","Extensible Authentication Protocol","False","False","False","Manual","Win32OwnProcess","dot3svc"
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)","False","False","False","Automatic","Win32OwnProcess",""
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","False","False","False","Manual","Win32OwnProcess",""
"Stopped","EFS","Encrypting File System (EFS)","False","False","False","Manual","Win32ShareProcess",""
"Running","ElevocService","Elevoc Control Service","False","True","True","Automatic","Win32OwnProcess",""
"Stopped","embeddedmode","Embedded Mode","False","False","False","Manual","Win32ShareProcess",""
"Stopped","EntAppSvc","Enterprise App Management Service","False","False","False","Manual","Win32ShareProcess",""
"Running","EventLog","Windows Event Log","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","Wecsvc"
"Running","EventSystem","COM+ Event System","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","COMSysApp;SENS"
"Stopped","fdPHost","Function Discovery Provider Host","False","False","False","Manual","Win32ShareProcess","FDResPub"
"Stopped","FDResPub","Function Discovery Resource Publication","False","False","False","Manual","Win32ShareProcess",""
"Stopped","fhsvc","File History Service","False","False","False","Manual","Win32ShareProcess",""
