Name,DisplayName,Description
AarSvc_47e64,Agent Activation Runtime_47e64,"Handles app activation operations for apps using the Windows App Runtime, especially in multi-user scenarios."
ALG,Application Layer Gateway Service,Provides support for third-party protocol plug-ins for Internet Connection Sharing and Windows Firewall.
AppIDSvc,Application Identity,Determines and verifies the identity of applications for enforcing AppLocker policies.
Appinfo,Application Information,Facilitates software elevation for applications that require administrative privileges.
AppReadiness,App Readiness,Prepares apps for use the first time a user signs in to a device and when apps are added.
AppXSvc,AppX Deployment Service (AppXSVC),Manages deployment of Windows Store apps including installation and removal.
ApxSvc,Windows Virtual Audio Device Proxy Service,"Acts as a proxy for virtual audio device drivers, improving compatibility and performance."
AudioEndpointBuilder,Windows Audio Endpoint Builder,"Creates and manages audio endpoint devices on the system, essential for sound output."
Audiosrv,Windows Audio,Controls audio playback and recording for Windows-based programs.
autotimesvc,Cellular Time,Synchronizes device time using cellular network data for accurate system clock settings.
AxInstSV,ActiveX Installer (AxInstSV),Enables installation of ActiveX controls when using Internet Explorer.
BcastDVRUserService_47e64,GameDVR and Broadcast User Service_47e64,Supports capturing and broadcasting gameplay using Windows Game Bar.
BDESVC,BitLocker Drive Encryption Service,"Manages BitLocker encryption, helping to protect disk drives against unauthorized access."
BFE,Base Filtering Engine,Provides a foundation for firewall and IPsec by managing filtering policies and security.
BITS,Background Intelligent Transfer Service,Transfers files in the background using idle network bandwidth; used by updates and installers.
BluetoothUserService_47e64,Bluetooth User Support Service_47e64,Manages Bluetooth user interactions including pairing and notifications.
BrokerInfrastructure,Background Tasks Infrastructure Service,Supports background task scheduling and resource management for system services.
BTAGService,Bluetooth Audio Gateway Service,Enables Bluetooth devices to stream audio through the system’s audio drivers.
BthAvctpSvc,AVCTP service,Manages AVCTP protocol for Bluetooth audio communication between host and remote devices.
bthserv,Bluetooth Support Service,Provides Bluetooth device discovery and association capabilities.
...,,
Name,DisplayName,Description
camsvc,Capability Access Manager Service,Manages access to user capabilities like location or camera for apps requiring permissions.
CaptureService_47e64,CaptureService_47e64,Handles screen and game capture tasks tied to the Xbox Game Bar.
cbdhsvc_47e64,Clipboard User Service_47e64,Supports clipboard history and cloud clipboard features across devices.
CDPSvc,Connected Devices Platform Service,Facilitates device discovery and connectivity for Windows apps and services.
CDPUserSvc_47e64,Connected Devices Platform User Service_47e64,Provides per-user support for device connectivity and synchronization.
CertPropSvc,Certificate Propagation,Propagates smart card certificates to the user profile for authentication.
ClipSVC,Client Licence Service (ClipSVC),Manages licensing and infrastructure for Store apps.
CloudBackupRestoreSvc_47e64,Cloud Backup and Restore Service_47e64,Handles data backup and restore using Microsoft cloud services.
COMSysApp,COM+ System Application,Supports COM+ components and event publication.
ConsentUxUserSvc_47e64,ConsentUX User Service_47e64,Facilitates user consent UI interactions for specific applications.
CoreMessagingRegistrar,CoreMessaging,Supports inter-process and system-level messaging mechanisms.
cplspcon,Intel(R) Content Protection HDCP Service,Manages HDCP protections for digital video and media.
CredentialEnrollmentManagerUserSvc_47e64,CredentialEnrollmentManagerUserSvc_47e64,Handles user credential management for signing in and authentication.
CryptSvc,Cryptographic Services,Provides cryptography and key management for Windows security features.
